FIRE_YEAR,FIRE_MGT_ZONE,GENERAL_CAUSE,FINAL_SIZE,LATITUDE,LONGITUDE
1989,INT,LTG,0.1,49.8229,-93.7646
1989,INT,REC,3,46.289,-80.6365
1989,INT,MIS,0.5,49.832,-93.7508
1989,INT,MIS,0.1,49.6894,-92.5009
1989,INT,RES,0.1,49.7802,-92.7778
1989,INT,MIS,0.1,49.9598,-93.3625
1989,INT,LTG,1,50.284,-92.8596
1989,INT,RWY,0.2,49.7801,-92.7361
1989,INT,LTG,0.5,49.8791,-93.2366
1989,INT,REC,0.3,49.3012,-92.3962
1989,INT,REC,0.1,49.6176,-92.5293
1989,INT,RWY,0.1,49.8157,-93.7631
1989,INT,RES,20,49.6174,-92.4878
1989,INT,LTG,0.1,49.9639,-93.0795
1989,INT,REC,0.1,48.0817,-85.0531
1989,INT,LTG,0.1,50.2659,-92.7755
1989,INT,LTG,0.1,50.0328,-92.4638
1989,INT,RWY,2,47.3233,-81.5161
1989,INT,LTG,0.1,50.1498,-92.7439
1989,INT,REC,0.1,49.7165,-93.4855
1989,INT,REC,1.6,49.7614,-93.4929
1989,INT,MIS,0.1,49.869,-93.5705
1989,INT,RES,1.2,49.8884,-93.0418
1989,INT,LTG,0.2,49.7532,-93.2499
1989,INT,MIS,0.6,49.843,-93.306
1989,INT,REC,0.1,49.7078,-93.0485
1989,INT,LTG,0.1,49.9601,-92.763
1989,INT,LTG,0.3,48.8179,-85.5561
1989,INT,LTG,0.1,48.1202,-85.9251
1989,INT,REC,0.1,47.3735,-84.7085
1989,INT,LTG,1,48.3018,-86.1235
1989,INT,LTG,0.2,48.2445,-85.7608
1989,INT,LTG,0.1,48.1847,-85.3049
1989,INT,LTG,0.2,48.2433,-85.6531
1989,INT,REC,0.1,47.745,-84.8389
1989,INT,LTG,1,47.4114,-84.3754
1989,INT,LTG,0.3,48.0609,-84.8928
1989,INT,LTG,0.1,48.3071,-84.5995
1989,INT,LTG,1,47.3994,-84.6543
1989,INT,MIS,0.4,49.8316,-93.8065
1989,INT,LTG,0.5,48.2636,-85.8682
1989,INT,IDF,125,49.978,-92.7211
1989,INT,MIS,0.1,48.0147,-84.8277
1989,INT,REC,0.1,48.3971,-84.2035
1989,INT,REC,20,48.0489,-84.7323
1989,INT,IDO,0.2,48.6684,-85.8591
1989,INT,IDO,0.1,48.3329,-84.5443
1989,INT,RWY,0.1,48.4782,-84.605
1989,INT,RWY,0.1,48.2745,-84.345
1989,INT,MIS,20,47.7188,-84.0666
1989,INT,IDO,0.5,48.0851,-84.7442
1989,INT,MIS,30,47.7039,-84.1875
1989,INT,LTG,0.1,47.9376,-85.6745
1989,INT,LTG,0.1,47.4528,-84.6254
1989,INT,REC,2.2,46.3615,-80.896
1989,INT,MIS,0.2,46.3603,-80.4671
1989,INT,MIS,0.1,46.4335,-81.013
1989,INT,REC,0.1,46.6398,-81.4181
1989,INT,REC,3,46.0735,-80.9095
1989,INT,MIS,142,47.6725,-84.0159
1989,INT,RES,0.2,46.6044,-80.8303
1989,INT,RWY,0.1,46.8182,-81.721
1989,INT,RWY,1,46.8182,-81.721
1989,INT,MIS,1,46.4425,-81
1989,INT,RES,0.1,46.6744,-80.4131
1989,INT,UNK,4,46.6945,-81.0392
1989,INT,MIS,0.1,49.8404,-93.8344
1989,INT,REC,0.2,46.5415,-80.9609
1989,INT,REC,0.7,46.5865,-81.0392
1989,INT,UNK,0.2,46.4785,-80.8697
1989,INT,REC,0.2,46.4425,-80.8959
1989,INT,REC,0.6,46.4508,-81.4036
1989,INT,REC,0.1,46.3345,-80.948
1989,INT,REC,1.5,46.6131,-80.6735
1989,INT,REC,0.3,46.6488,-80.5818
1989,INT,REC,0.3,45.9563,-81.2194
1989,INT,REC,0.1,46.478,-81.3387
1989,INT,RES,1.5,46.3795,-80.87
1989,INT,REC,0.1,46.4335,-80.9479
1989,INT,REC,0.1,46.5144,-81.1434
1989,INT,REC,0.5,46.4693,-80.7786
1989,INT,MIS,12,46.3615,-80.896
1989,INT,MIS,0.8,48.0401,-84.7461
1989,INT,IDF,171,50.2209,-92.7757
1989,INT,IDF,130,50.1348,-92.5313
1989,INT,IDO,0.1,49.959,-93.5576
1989,INT,RES,0.1,49.7264,-92.8613
1989,INT,IDF,107,50.1389,-92.4403
1989,INT,REC,3,46.5774,-80.8564
1989,INT,REC,0.1,46.5675,-80.5172
1989,INT,REC,0.6,46.721,-80.6598
1989,INT,REC,0.2,46.4964,-81.1694
1989,INT,RES,0.2,46.5133,-80.4656
1989,INT,REC,0.1,46.8025,-80.9476
1989,INT,REC,1.5,46.5324,-80.8305
1989,INT,REC,0.1,46.1544,-81.2072
1989,INT,REC,1.5,46.6044,-81.1697
1989,INT,UNK,0.2,46.5325,-80.9348
1989,INT,REC,0.3,46.3885,-81.1301
1989,INT,MIS,0.1,46.3253,-80.7662
1989,INT,REC,0.1,46.5861,-80.6867
1989,INT,MIS,2.5,46.532,-80.6479
1989,INT,REC,0.1,46.5415,-81.0783
1989,INT,REC,2.2,46.9815,-80.5135
1989,INT,REC,0.1,46.4781,-81.3257
1989,INT,RES,0.3,46.6021,-81.7442
1989,INT,REC,0.3,46.6675,-81.0915
1989,INT,RES,3,49.7463,-93
1989,INT,UNK,0.1,46.5953,-81.2219
1989,INT,LTG,0.1,48.039,-84.2766
1989,MEA,IDF,0.4,49.2957,-85.6384
1989,MEA,IDF,0.1,49.2955,-85.6247
1989,INT,LTG,0.1,49.0283,-85.8646
1989,MEA,LTG,0.1,49.2163,-85.7779
1989,MEA,LTG,0.1,49.1601,-85.5873
1989,INT,IDO,12,49.1623,-85.7793
1989,MEA,LTG,1.5,48.9943,-86.0978
1989,MEA,LTG,2.5,49.0134,-86.2479
1989,MEA,LTG,0.1,48.9933,-85.9748
1989,MEA,MIS,0.1,48.9117,-85.9082
1989,INT,LTG,0.2,49.1832,-85.2984
1989,INT,REC,0.1,48.2506,-81.3637
1989,INT,REC,4,48.1099,-84.6356
1989,INT,REC,0.1,49.0461,-85.8505
1989,MEA,REC,5,49.7209,-85.8624
1989,MEA,LTG,0.2,49.7297,-85.8483
1989,INT,LTG,0.1,47.612,-83.8875
1989,INT,LTG,0.1,47.593,-83.9263
1989,INT,REC,0.1,48.3512,-84.5569
1989,INT,RWY,0.1,48.4686,-85.0519
1989,INT,MIS,0.1,47.3534,-84.6034
1989,INT,REC,0.2,48.1279,-84.6348
1989,INT,REC,0.1,48.7649,-85.6392
1989,INT,LTG,1,48.8247,-85.3924
1989,INT,LTG,0.2,48.0842,-85.9258
1989,INT,REC,0.1,49.1746,-84.7911
1989,INT,MIS,0.1,49.1001,-85.8493
1989,INT,LTG,0.7,48.7069,-85.3282
1989,INT,MIS,0.1,48.0237,-84.8273
1989,INT,MIS,0.1,48.71,-85.5591
1989,INT,REC,10,48.0409,-84.7863
1989,INT,RES,0.3,47.9535,-84.924
1989,INT,IDO,0.1,48.3425,-84.5709
1989,INT,LTG,0.8,47.5489,-84.4882
1989,INT,LTG,8,47.9192,-84.1624
1989,INT,LTG,0.1,47.4563,-84.3732
1989,INT,LTG,0.1,47.8182,-84.9027
1989,INT,LTG,0.1,47.3314,-84.4191
1989,MEA,LTG,4,49.5241,-85.9775
1989,INT,LTG,1.5,48.1675,-85.3592
1989,MEA,LTG,1.5,49.1332,-85.588
1989,MEA,LTG,1,48.9136,-86.1265
1989,MEA,MIS,0.2,48.8209,-85.8148
1989,MEA,REC,0.1,49.5348,-86.1984
1989,INT,REC,0.1,49.0998,-85.8219
1989,MEA,LTG,0.1,49.0191,-85.8511
1989,MEA,LTG,0.1,49.2782,-85.6802
1989,MEA,LTG,0.1,49.1776,-85.5456
1989,MEA,REC,0.3,49.0191,-85.8511
1989,MEA,LTG,0.3,49.3875,-85.126
1989,MEA,LTG,0.4,49.2811,-85.9688
1989,MEA,LTG,1,49.1776,-85.5456
1989,INT,MIS,0.1,48.2407,-81.5791
1989,INT,LTG,0.1,47.8778,-84.3118
1989,INT,RWY,2,47.0778,-81.9181
1989,INT,LTG,0.1,47.9166,-81.6156
1989,INT,LTG,0.1,47.7707,-81.9075
1989,INT,LTG,0.1,47.7087,-81.7732
1989,INT,RWY,0.1,47.422,-81.5674
1989,INT,REC,0.1,48.673,-84.4599
1989,INT,LTG,0.1,47.3481,-84.3653
1989,INT,RWY,1,48.5246,-85.1716
1989,INT,REC,0.1,48.2001,-82.1843
1989,INT,LTG,2.5,47.9931,-82.1929
1989,INT,RWY,0.1,47.0688,-81.9219
1989,INT,MIS,0.2,47.9024,-82.2577
1989,INT,LTG,0.1,48.9361,-85.0338
1989,INT,RWY,0.5,48.0837,-82.1279
1989,INT,RWY,0.3,47.0992,-81.2635
1989,INT,RWY,10,47.0778,-81.9168
1989,INT,LTG,0.1,47.143,-80.4197
1989,INT,LTG,0.1,47.116,-80.42
1989,INT,LTG,0.2,47.7883,-84.3298
1989,INT,LTG,0.1,47.3754,-84.3772
1989,INT,LTG,0.9,48.5023,-84.0894
1989,INT,MIS,0.1,48.6357,-85.3848
1989,INT,LTG,0.1,48.3768,-84.9474
1989,INT,LTG,0.1,48.2492,-84.8582
1989,INT,LTG,0.1,48.0951,-84.7974
1989,INT,RWY,0.1,46.881,-81.7612
1989,INT,LTG,0.2,48.0729,-82.3022
1989,INT,LTG,0.1,47.7696,-84.7178
1989,INT,LTG,0.1,48.0711,-81.2014
1989,INT,LTG,2,48.5924,-81.3933
1989,INT,LTG,3,48.0439,-81.2683
1989,INT,MIS,8,47.972,-81.268
1989,EXT,RES,0.1,48.602,-81.0136
1989,INT,REC,0.1,48.4212,-81.4595
1989,INT,LTG,0.4,47.9363,-81.0803
1989,INT,IDF,0.1,48.3329,-84.5443
1989,INT,LTG,1,48.3764,-85.5011
1989,INT,IDO,0.1,47.943,-84.8441
1989,INT,REC,0.3,48.2228,-84.8862
1989,INT,LTG,0.3,47.8437,-81.7752
1989,INT,LTG,0.1,47.4742,-84.797
1989,INT,REC,0.1,47.5939,-81.3192
1989,INT,LTG,0.1,47.4146,-84.1366
1989,INT,LTG,0.1,47.3496,-84.4314
1989,INT,RWY,0.1,47.6998,-81.7597
1989,INT,LTG,0.1,47.6081,-81.9846
1989,INT,LTG,0.1,47.4646,-81.9288
1989,INT,REC,0.1,47.1513,-81.6991
1989,INT,LTG,0.1,47.4464,-81.955
1989,INT,RWY,0.7,47.834,-81.8686
1989,INT,LTG,1.5,47.7084,-81.8265
1989,INT,LTG,0.1,47.8432,-81.842
1989,EXT,LTG,0.1,47.3334,-81.1059
1989,INT,LTG,0.1,47.5192,-84.7951
1989,INT,LTG,0.1,47.6576,-84.1367
1989,INT,LTG,0.6,47.0345,-81.6712
1989,INT,REC,0.1,46.7297,-80.5681
1989,INT,REC,0.4,46.6494,-80.8171
1989,INT,REC,0.1,46.5415,-80.8696
1989,INT,REC,0.1,46.5504,-80.8565
1989,INT,REC,0.1,46.8636,-81.656
1989,INT,UNK,0.2,46.72,-81.5888
1989,INT,REC,0.2,46.5235,-80.9087
1989,INT,LTG,4,45.9923,-80.7934
1989,INT,RWY,1.5,46.0463,-80.7674
1989,INT,RWY,1,46.0463,-80.7674
1989,INT,REC,0.1,46.5595,-80.9609
1989,INT,REC,0.1,46.5685,-80.8695
1989,INT,RWY,0.2,46.4593,-80.4791
1989,INT,REC,0.3,46.1988,-81.4018
1989,INT,LTG,0.1,46.8834,-81.1706
1989,INT,LTG,0.1,47.0358,-80.6183
1989,INT,LTG,0.2,46.487,-81.3518
1989,INT,LTG,0.1,46.9625,-81.6703
1989,INT,RWY,0.1,46.8006,-81.6552
1989,INT,LTG,0.1,46.9263,-81.7093
1989,INT,REC,0.1,46.0458,-80.5864
1989,INT,LTG,0.2,46.2798,-81.4154
1989,INT,REC,0.1,46.5504,-80.8565
1989,INT,LTG,0.2,46.2805,-81.0649
1989,INT,LTG,0.5,46.1005,-80.9482
1989,INT,REC,0.1,46.3794,-80.831
1989,INT,REC,0.1,45.8845,-80.9098
1989,INT,LTG,0.5,46.7932,-81.2752
1989,INT,REC,0.6,46.5415,-80.9478
1989,INT,RWY,0.1,46.2804,-80.7923
1989,INT,REC,0.1,46.5758,-81.6264
1989,INT,REC,0.1,46.0897,-80.3532
1989,INT,LTG,0.1,47.0634,-80.8551
1989,INT,INC,0.2,46.154,-80.6374
1989,INT,REC,0.1,46.6043,-80.765
1989,INT,REC,0.1,46.0906,-80.5473
1989,INT,REC,0.1,46.7471,-81.5629
1989,INT,REC,0.1,46.4514,-80.8047
1989,INT,LTG,0.1,46.91,-80.6717
1989,INT,REC,0.2,46.3705,-81.078
1989,INT,REC,0.2,46.5679,-80.6346
1989,INT,LTG,0.1,46.8834,-80.8294
1989,INT,RES,0.2,46.5234,-80.8175
1989,INT,MIS,1.5,46.154,-80.6374
1989,INT,LTG,1.8,46.793,-80.6593
1989,INT,REC,0.1,46.4335,-81.013
1989,INT,REC,0.1,46.2445,-80.8573
1989,INT,REC,0.1,46.4333,-80.7657
1989,INT,LTG,2.2,46.1364,-81.1942
1989,INT,REC,0.1,46.5144,-81.1695
1989,INT,LTG,0.3,46.9996,-80.5396
1989,INT,LTG,0.1,47.0262,-80.4473
1989,INT,REC,0.2,46.0279,-81.3876
1989,INT,RWY,18,46.0639,-80.6251
1989,INT,REC,0.1,46.5505,-80.8696
1989,INT,LTG,0.1,47.1083,-80.7759
1989,INT,LTG,0.4,46.8373,-80.4755
1989,INT,REC,0.3,46.1719,-81.3886
1989,INT,LTG,0.1,46.9821,-80.7107
1989,INT,REC,2.5,45.9655,-80.8709
1989,INT,LTG,0.5,46.6668,-81.4052
1989,INT,LTG,0.1,46.9278,-80.5928
1989,INT,MIS,4.5,46.2065,-80.313
1989,INT,REC,0.1,46.3974,-80.8049
1989,INT,LTG,4,47.0409,-80.8776
1989,INT,IDO,0.1,46.7125,-81
1989,INT,RWY,4.5,46.514,-80.6585
1989,INT,RWY,2.3,46.5505,-80.9348
1989,INT,RWY,0.4,46.5595,-80.9348
1989,INT,RWY,0.5,46.5775,-80.9478
1989,INT,RWY,1,46.5865,-80.9478
1989,INT,REC,0.1,46.064,-81.362
1989,INT,RWY,1,46.8989,-81.7746
1989,INT,RWY,1,46.872,-81.7611
1989,INT,RWY,5,46.9885,-81.8285
1989,INT,RWY,65,46.863,-81.7609
1989,INT,LTG,0.1,46.1269,-80.6246
1989,INT,RWY,1,46.7739,-81.6025
1989,INT,LTG,0.2,47.0699,-81.7639
1989,INT,RWY,1.4,46.0012,-80.7417
1989,INT,RWY,15,46.2355,-80.8703
1989,INT,RES,0.1,46.4423,-80.7527
1989,INT,REC,50,46.5055,-80.8827
1989,INT,RWY,75,46.881,-81.7612
1989,INT,RWY,1.8,46.7739,-81.6156
1989,INT,RWY,0.1,46.7649,-81.6024
1989,INT,RWY,0.2,46.9168,-81.788
1989,INT,REC,0.1,46.5415,-80.8957
1989,INT,RES,0.5,46.3885,-81.013
1989,INT,RES,2.5,46.5234,-80.8305
1989,INT,RES,1.2,46.4513,-80.7526
1989,INT,REC,0.1,46.4245,-81.0651
1989,INT,RWY,20,46.6584,-80.8301
1989,INT,REC,0.1,46.5595,-80.9478
1989,INT,MIS,0.1,46.532,-80.6479
1989,INT,REC,0.1,46.5504,-80.8565
1989,INT,REC,0.1,46.4425,-80.9609
1989,INT,REC,0.1,46.4425,-81
1989,INT,REC,0.2,46.5594,-80.8304
1989,INT,REC,0.1,46.5595,-81
1989,INT,LTG,0.1,46.1365,-80.9612
1989,INT,MIS,0.2,46.4605,-80.974
1989,INT,LTG,0.1,46.4512,-80.7396
1989,INT,LTG,0.1,46.0186,-80.5349
1989,INT,LTG,0.1,46.0366,-80.5477
1989,INT,LTG,1,45.9743,-81.2194
1989,INT,LTG,0.4,46.1358,-80.5857
1989,INT,LTG,0.1,46.4603,-80.7656
1989,INT,LTG,0.1,46.0369,-80.6123
1989,INT,RES,0.1,46.5864,-80.8564
1989,INT,LTG,0.1,46.9091,-80.4354
1989,INT,REC,0.1,46.3885,-81.078
1989,INT,LTG,0.1,46.6219,-80.6343
1989,INT,REC,0.1,46.0553,-80.7932
1989,INT,REC,0.1,46.0186,-80.5479
1989,INT,MIS,0.1,46.2894,-80.7923
1989,INT,REC,0.1,46.5685,-80.8695
1989,INT,REC,0.1,46.8744,-80.8294
1989,INT,REC,0.1,46.6223,-80.7518
1989,INT,RES,1.2,46.019,-80.6641
1989,INT,REC,0.2,46.5864,-80.8564
1989,INT,REC,0.5,45.9023,-80.7808
1989,INT,LTG,0.2,46.7304,-80.856
1989,INT,RWY,0.2,46.8093,-81.7078
1989,INT,MIS,0.2,46.3337,-81.4288
1989,INT,REC,0.1,45.9295,-81.0516
1989,INT,REC,0.1,46.3974,-80.8049
1989,INT,LTG,0.5,47.1084,-80.8418
1989,INT,REC,0.1,46.4335,-81
1989,INT,LTG,0.1,46.0094,-81.5167
1989,INT,LTG,0.1,47.1532,-80.7758
1989,INT,REC,0.1,46.5775,-80.8695
1989,INT,LTG,0.2,46.9994,-80.5002
1989,INT,LTG,1.5,46.8921,-81.2888
1989,INT,MIS,0.1,46.028,-80.6511
1989,INT,LTG,0.1,46.1273,-80.767
1989,INT,LTG,0.5,46.2624,-80.8054
1989,INT,REC,0.2,46.4244,-81.1562
1989,INT,REC,0.1,46.2079,-81.3889
1989,INT,UNK,0.5,46.3885,-81.104
1989,INT,REC,0.6,46.0458,-81.4007
1989,INT,LTG,0.3,46.0374,-81.1551
1989,INT,RWY,0.4,46.3344,-80.8441
1989,INT,RWY,0.1,46.5145,-80.8827
1989,INT,REC,0.2,46.6945,-81.0392
1989,INT,MIS,0.2,46.4335,-81.0521
1989,INT,REC,0.2,46.5505,-80.9478
1989,INT,LTG,0.1,46.7563,-81.5368
1989,INT,LTG,0.3,46.1815,-81.1037
1989,INT,REC,0.3,46.0822,-81.2716
1989,INT,LTG,0.2,46.2085,-81.0389
1989,INT,REC,0.1,46.4155,-81.013
1989,INT,LTG,0.7,46.1545,-81.1295
1989,INT,LTG,0.1,46.6396,-80.5296
1989,INT,REC,0.1,46.5685,-80.8695
1989,INT,LTG,0.6,46.307,-80.6624
1989,INT,LTG,0.1,46.8265,-81.826
1989,INT,LTG,0.3,46.0015,-80.9483
1989,INT,REC,0.1,46.5415,-80.9609
1989,INT,LTG,0.1,46.1815,-81.0907
1989,INT,REC,0.1,46.3705,-81.078
1989,INT,LTG,0.1,46.0906,-81.4657
1989,INT,REC,0.1,45.9921,-81.3228
1989,INT,REC,0.1,46.4335,-81
1989,INT,LTG,1,47.1431,-80.4329
1989,INT,LTG,0.1,46.9643,-80.8028
1989,INT,LTG,0.1,46.9373,-81.2365
1989,INT,REC,0.1,46.5414,-80.8435
1989,INT,LTG,0.3,47.0095,-80.9737
1989,INT,LTG,0.1,46.5764,-81.509
1989,INT,LTG,0.2,46.1275,-80.8964
1989,INT,LTG,0.5,46.2985,-81.0649
1989,INT,REC,0.2,46.4693,-80.7916
1989,INT,LTG,0.1,46.0101,-80.6771
1989,INT,LTG,1.2,46.0551,-80.6898
1989,INT,LTG,10,46.046,-80.6381
1989,INT,LTG,0.1,46.4065,-80.961
1989,INT,REC,0.1,46.5325,-80.8957
1989,INT,LTG,0.1,46.0914,-81.194
1989,INT,LTG,2.5,46.5685,-81.0652
1989,INT,LTG,0.2,46.2518,-80.3773
1989,INT,LTG,0.1,46.0462,-80.7415
1989,INT,LTG,0.7,46.4505,-80.5052
1989,INT,LTG,0.1,46.289,-80.6625
1989,INT,LTG,0.1,46.252,-80.4162
1989,INT,LTG,0.3,46.0373,-80.7674
1989,INT,LTG,0.2,46.0374,-81.1551
1989,INT,REC,0.2,46.5053,-80.7524
1989,INT,REC,0.5,46.5584,-80.4912
1989,INT,LTG,0.6,46.28,-80.6625
1989,INT,LTG,0.5,46.1004,-81.1941
1989,INT,LTG,0.2,46.2444,-81.1816
1989,INT,LTG,0.5,46.1809,-80.6113
1989,INT,REC,0.2,46.5505,-80.987
1989,INT,LTG,0.8,46.0644,-81.1939
1989,INT,LTG,1,46.28,-80.6625
1989,INT,LTG,0.2,46.1,-81.3364
1989,INT,LTG,0.1,46.261,-80.4031
1989,INT,LTG,1.5,46.4155,-81.0781
1989,INT,LTG,0.2,46.2355,-80.9222
1989,INT,LTG,0.1,47.0436,-81.6582
1989,INT,LTG,0.3,46.4781,-80.6743
1989,INT,LTG,0.2,46.0912,-81.2975
1989,INT,LTG,2,46.0463,-81.2197
1989,INT,REC,0.1,46.4245,-81
1989,INT,LTG,0.1,47.1431,-80.4329
1989,INT,LTG,20.3,46.181,-81.3369
1989,INT,LTG,0.1,45.9655,-81.0387
1989,INT,MIS,0.1,46.7304,-80.843
1989,INT,IDO,0.3,49.729,-94.8343
1989,MEA,LTG,1,49.1225,-87.7168
1989,INT,UNK,1.2,49.4902,-94.4181
1989,INT,RES,0.5,49.7278,-94.2529
1989,INT,RES,0.1,50.1295,-94.9336
1989,INT,RES,1.2,50.1396,-94.9186
1989,INT,RES,0.1,50.1368,-94.9255
1989,INT,RES,0.2,50.1609,-94.8858
1989,INT,REC,0.1,50.0704,-94.0871
1989,INT,MIS,0.4,50.1494,-94.926
1989,INT,MIS,0.8,49.7797,-86.5972
1989,INT,REC,3,51.6372,-85.9452
1989,MEA,LTG,1,51.4094,-88.9842
1989,MEA,REC,3,49.1138,-88.521
1989,INT,MIS,0.5,49.6708,-87.6236
1989,MEA,REC,0.3,49.1842,-87.7684
1989,MEA,LTG,200,51.4282,-88.2802
1989,INT,REC,1,50.1854,-93.9987
1989,INT,RES,0.5,49.1018,-94.5453
1989,INT,LTG,0.1,49.6475,-94.9255
1989,INT,IDO,0.1,49.7544,-94.8811
1989,INT,LTG,0.9,49.5888,-94.8305
1989,INT,LTG,0.1,49.6294,-94.7641
1989,INT,LTG,0.5,50.5777,-94.6807
1989,INT,LTG,0.5,50.339,-94.8268
1989,INT,RES,0.5,49.3931,-93.9757
1989,INT,LTG,0.7,50.4248,-94.2543
1989,MEA,LTG,0.1,50.2923,-87.4211
1989,INT,RWY,0.1,49.7587,-94.3814
1989,INT,MIS,0.1,50.1987,-95.0428
1989,INT,REC,0.1,49.682,-94.2448
1989,INT,RES,0.2,49.7894,-94.4434
1989,INT,RES,0.2,49.817,-94.4707
1989,INT,MIS,0.2,50.1703,-93.9788
1989,INT,RES,0.1,49.8329,-94.3418
1989,INT,LTG,0.2,50.2113,-94.9873
1989,INT,LTG,10,51.4533,-88.4392
1989,MEA,LTG,0.2,49.4284,-87.5433
1989,INT,MIS,1000,51.6281,-85.9309
1989,INT,MIS,24,52.963,-87.3722
1989,EXT,MIS,24.5,52.8011,-88.5129
1989,EXT,LTG,10000,51.3449,-87.2728
1989,INT,LTG,2000,52.1601,-87.8917
1989,EXT,LTG,8,51.1654,-87.0429
1989,MEA,LTG,30,51.2418,-88.0314
1989,INT,IDF,0.7,49.7614,-86.5002
1989,MEA,LTG,2.5,51.4947,-87.8931
1989,INT,LTG,10,51.5403,-87.8075
1989,INT,LTG,0.1,51.6461,-88.8066
1989,MEA,LTG,2,51.7752,-88.5798
1989,MEA,LTG,4800,51.1318,-88.2434
1989,MEA,LTG,5,51.1504,-88.1867
1989,INT,REC,0.1,49.3367,-94.8417
1989,MEA,LTG,40,51.3317,-88.0334
1989,MEA,UNK,6,49.4206,-86.9724
1989,MEA,LTG,0.1,49.2079,-87.7208
1989,MEA,LTG,1,49.1799,-88.0853
1989,MEA,LTG,0.3,50.3191,-87.4635
1989,MEA,LTG,0.5,49.1726,-88.0975
1989,MEA,LTG,2.9,50.9908,-87.9404
1989,MEA,LTG,2,48.757,-88.2653
1989,MEA,LTG,4.5,51.2087,-87.6155
1989,MEA,RES,0.1,49.203,-88.2053
1989,INT,RES,0.2,50.141,-94.9438
1989,INT,REC,7,51.6122,-87.8087
1989,EXT,REC,0.3,51.6355,-85.7718
1989,INT,LTG,1430,53.6516,-88.7702
1989,INT,MIS,0.1,49.6994,-87.1109
1989,INT,MIS,0.5,52.972,-87.3723
1989,INT,MIS,0.1,49.7886,-86.5693
1989,MEA,RWY,0.2,49.8247,-86.5968
1989,INT,IDO,0.5,49.2895,-88.1001
1989,INT,RWY,0.2,49.7851,-95.0323
1989,INT,RES,0.2,50.141,-94.9438
1989,INT,LTG,0.2,50.0186,-94.9486
1989,INT,LTG,0.1,50.0574,-94.3718
1989,INT,LTG,0.1,49.87,-94.848
1989,INT,LTG,0.1,50.105,-94.3802
1989,INT,LTG,0.1,49.9142,-94.1407
1989,INT,LTG,0.1,50.0594,-94.5717
1989,INT,REC,0.1,49.8253,-94.6558
1989,INT,LTG,0.1,50.0141,-94.5297
1989,INT,RWY,0.1,49.7849,-95.0462
1989,INT,RWY,0.1,49.7838,-95.0559
1989,INT,RWY,0.3,49.7846,-95.0601
1989,INT,RWY,0.5,49.7854,-95.0643
1989,INT,RWY,0.2,49.7872,-95.0672
1989,INT,RWY,0.1,49.7871,-95.0699
1989,INT,RWY,0.1,49.7871,-95.0741
1989,INT,LTG,2,50.2665,-94.622
1989,INT,LTG,0.1,50.1816,-94.5141
1989,INT,REC,0.2,50.0665,-94.7033
1989,INT,LTG,0.1,50.2642,-94.6584
1989,INT,LTG,0.1,50.331,-94.7001
1989,INT,REC,2,50.14,-93.9404
1989,INT,LTG,0.2,49.1853,-93.7355
1989,INT,LTG,0.5,49.8815,-94.8624
1989,INT,LTG,0.5,50.0643,-94.5439
1989,INT,LTG,0.1,50.4729,-94.2204
1989,INT,RES,0.1,48.8669,-93.5795
1989,INT,LTG,0.1,49.649,-93.924
1989,INT,LTG,0.1,50.3073,-93.9423
1989,INT,LTG,0.1,50.4441,-93.9253
1989,INT,LTG,0.2,50.123,-95.1515
1989,INT,LTG,0.4,50.3313,-95.0696
1989,INT,LTG,0.2,50.1503,-94.4277
1989,INT,LTG,0.1,50.1275,-94.8355
1989,INT,LTG,0.1,50.1524,-93.9588
1989,INT,MIS,0.1,49.0669,-94.1363
1989,INT,LTG,0.5,49.2762,-93.5788
1989,INT,LTG,0.2,49.2538,-93.3229
1989,INT,MIS,30,49.0986,-94.2945
1989,EXT,LTG,0.1,49.0456,-93.4338
1989,INT,REC,0.1,48.8354,-93.3543
1989,INT,REC,2,49.0395,-93.8757
1989,INT,REC,0.5,48.7478,-93.0789
1989,INT,IDF,25,49.3577,-93.0275
1989,INT,REC,0.1,48.6709,-93.3273
1989,INT,INC,0.1,50.1265,-94.9502
1989,INT,REC,0.1,49.8491,-94.8069
1989,INT,REC,0.1,49.5174,-94.7338
1989,INT,LTG,2,49.9891,-93.7979
1989,INT,LTG,0.2,50.2712,-95.1133
1989,INT,LTG,0.1,50.4216,-95.1017
1989,MEA,LTG,172,51.0951,-88.3138
1989,INT,RES,300,48.7537,-94.5373
1989,INT,MIS,0.1,48.8242,-93.9223
1989,INT,RES,0.1,50.141,-94.9438
1989,INT,RES,0.1,48.6037,-93.6701
1989,INT,RWY,2.5,48.7805,-92.6529
1989,INT,REC,0.3,48.9412,-92.9399
1989,INT,MIS,0.1,49.0213,-93.9027
1989,INT,LTG,0.6,49.3008,-93.2228
1989,INT,LTG,0.1,49.2915,-93.3465
1989,INT,LTG,0.2,49.09,-93.856
1989,INT,REC,0.1,49.0884,-93.2684
1989,INT,IDF,0.1,49.3034,-93.2476
1989,INT,LTG,0.1,48.8268,-92.8365
1989,INT,LTG,0.1,49.2316,-92.8352
1989,INT,LTG,0.1,49.1688,-92.9588
1989,INT,LTG,0.2,49.1326,-92.8081
1989,INT,IDF,0.1,48.9795,-93.3006
1989,INT,LTG,0.1,48.9681,-93.8061
1989,INT,MIS,0.1,48.941,-93.8193
1989,INT,LTG,0.8,48.9917,-92.5681
1989,EXT,LTG,135,52.5385,-87.7814
